0.00 -1.1600 2.7800
0.01 -1.3101 2.5741
0.02 -1.4509 2.3814
0.03 -1.5830 2.2011
0.04 -1.7069 2.0324
0.05 -1.8231 1.8746
0.06 -1.9320 1.7269
0.07 -2.0342 1.5888
0.08 -2.1300 1.4596
0.09 -2.2197 1.3389
0.10 -2.3039 1.2260
0.11 -2.3827 1.1204
0.12 -2.4566 1.0217
0.13 -2.5257 0.9296
0.14 -2.5905 0.8434
0.15 -2.6510 0.7630
0.16 -2.7077 0.6879
0.17 -2.7607 0.6177
0.18 -2.8102 0.5523
0.19 -2.8564 0.4912
0.20 -2.8995 0.4343
0.21 -2.9397 0.3812
0.22 -2.9772 0.3317
0.23 -3.0120 0.2856
0.24 -3.0444 0.2427
0.25 -3.0745 0.2028
0.26 -3.1024 0.1656
0.27 -3.1282 0.1311
0.28 -3.1520 0.0991
0.29 -3.1740 0.0693
0.30 -3.1942 0.0417
0.31 -3.2127 0.0161
0.32 -3.2297 -0.0075
0.33 -3.2451 -0.0294
0.34 -3.2591 -0.0496
0.35 -3.2717 -0.0682
0.36 -3.2830 -0.0853
0.37 -3.2931 -0.1011
0.38 -3.3019 -0.1156
0.39 -3.3097 -0.1288
0.40 -3.3163 -0.1409
0.41 -3.3219 -0.1519
0.42 -3.3266 -0.1619
0.43 -3.3302 -0.1709
0.44 -3.3330 -0.1790
0.45 -3.3349 -0.1863
0.46 -3.3359 -0.1928
0.47 -3.3361 -0.1986
0.48 -3.3356 -0.2037
0.49 -3.3342 -0.2081
0.50 -3.3322 -0.2118
0.51 -3.3294 -0.2150
0.52 -3.3260 -0.2177
0.53 -3.3218 -0.2198
0.54 -3.3171 -0.2214
0.55 -3.3117 -0.2226
0.56 -3.3056 -0.2233
0.57 -3.2990 -0.2237
0.58 -3.2918 -0.2236
0.59 -3.2841 -0.2232
0.60 -3.2758 -0.2224
0.61 -3.2669 -0.2213
0.62 -3.2575 -0.2198
0.63 -3.2476 -0.2181
0.64 -3.2372 -0.2161
0.65 -3.2262 -0.2139
0.66 -3.2148 -0.2114
0.67 -3.2029 -0.2086
0.68 -3.1905 -0.2056
0.69 -3.1776 -0.2025
0.70 -3.1642 -0.1991
0.71 -3.1504 -0.1955
0.72 -3.1362 -0.1917
0.73 -3.1214 -0.1877
0.74 -3.1063 -0.1836
0.75 -3.0907 -0.1793
0.76 -3.0746 -0.1749
0.77 -3.0581 -0.1703
0.78 -3.0412 -0.1655
0.79 -3.0238 -0.1607
0.80 -3.0060 -0.1557
0.81 -2.9878 -0.1505
0.82 -2.9691 -0.1453
0.83 -2.9501 -0.1399
0.84 -2.9306 -0.1344
0.85 -2.9106 -0.1288
0.86 -2.8903 -0.1231
0.87 -2.8696 -0.1173
0.88 -2.8484 -0.1114
0.89 -2.8268 -0.1053
0.90 -2.8048 -0.0992
0.91 -2.7824 -0.0930
0.92 -2.7596 -0.0868
0.93 -2.7363 -0.0804
0.94 -2.7127 -0.0739
0.95 -2.6886 -0.0674
0.96 -2.6641 -0.0607
0.97 -2.6392 -0.0540
0.98 -2.6139 -0.0472
0.99 -2.5882 -0.0404
0,00 0,9600 2,9500
0,01 0,9210 2,9011
0,02 0,8830 2,8533
0,03 0,8459 2,8065
0,04 0,8098 2,7608
0,05 0,7746 2,7160
0,06 0,7402 2,6723
0,07 0,7068 2,6295
0,08 0,6742 2,5877
0,09 0,6425 2,5468
0,10 0,6115 2,5069
0,11 0,5814 2,4678
0,12 0,5520 2,4295
0,13 0,5234 2,3922
0,14 0,4956 2,3556
0,15 0,4685 2,3199
0,16 0,4421 2,2850
0,17 0,4164 2,2509
0,18 0,3914 2,2175
0,19 0,3670 2,1849
0,20 0,3433 2,1530
0,21 0,3203 2,1219
0,22 0,2978 2,0914
0,23 0,2760 2,0617
0,24 0,2548 2,0326
0,25 0,2341 2,0041
0,26 0,2140 1,9764
0,27 0,1945 1,9492
0,28 0,1755 1,9227
0,29 0,1571 1,8968
0,30 0,1391 1,8714
0,31 0,1217 1,8467
0,32 0,1048 1,8225
0,33 0,0883 1,7989
0,34 0,0723 1,7758
0,35 0,0568 1,7532
0,36 0,0417 1,7312
0,37 0,0271 1,7097
0,38 0,0129 1,6887
0,39 -0,0008 1,6681
0,40 -0,0142 1,6481
0,41 -0,0272 1,6285
0,42 -0,0397 1,6094
0,43 -0,0519 1,5907
0,44 -0,0637 1,5724
0,45 -0,0752 1,5546
0,46 -0,0863 1,5372
0,47 -0,0970 1,5203
0,48 -0,1074 1,5037
0,49 -0,1175 1,4875
0,50 -0,1273 1,4717
0,51 -0,1367 1,4563
0,52 -0,1458 1,4412
0,53 -0,1546 1,4265
0,54 -0,1632 1,4122
0,55 -0,1714 1,3982
0,56 -0,1794 1,3845
0,57 -0,1871 1,3712
0,58 -0,1945 1,3582
0,59 -0,2017 1,3455
0,60 -0,2086 1,3331
0,61 -0,2152 1,3210
0,62 -0,2216 1,3093
0,63 -0,2278 1,2978
0,64 -0,2338 1,2866
0,65 -0,2395 1,2756
0,66 -0,2450 1,2650
0,67 -0,2503 1,2546
0,68 -0,2554 1,2444
0,69 -0,2603 1,2345
0,70 -0,2650 1,2249
0,71 -0,2695 1,2155
