0.00 -2.6350 -0.0851
0.01 -2.6784 -0.1247
0.02 -2.7188 -0.1597
0.03 -2.7566 -0.1908
0.04 -2.7921 -0.2184
0.05 -2.8257 -0.2430
0.06 -2.8575 -0.2648
0.07 -2.8878 -0.2844
0.08 -2.9168 -0.3018
0.09 -2.9447 -0.3175
0.10 -2.9716 -0.3316
0.11 -2.9977 -0.3443
0.12 -3.0231 -0.3557
0.13 -3.0478 -0.3661
0.14 -3.0720 -0.3756
0.15 -3.0958 -0.3843
0.16 -3.1192 -0.3922
0.17 -3.1423 -0.3996
0.18 -3.1651 -0.4063
0.19 -3.1878 -0.4126
0.20 -3.2102 -0.4185
0.21 -3.2325 -0.4241
0.22 -3.2548 -0.4293
0.23 -3.2769 -0.4342
0.24 -3.2990 -0.4389
0.25 -3.3211 -0.4434
0.26 -3.3432 -0.4477
0.27 -3.3653 -0.4518
0.28 -3.3874 -0.4559
0.29 -3.4096 -0.4598
0.30 -3.4318 -0.4636
0.31 -3.4541 -0.4673
0.32 -3.4765 -0.4709
0.33 -3.4990 -0.4745
0.34 -3.5215 -0.4780
0.35 -3.5442 -0.4815
0.36 -3.5669 -0.4850
0.37 -3.5898 -0.4884
0.38 -3.6128 -0.4918
0.39 -3.6359 -0.4952
0.40 -3.6591 -0.4986
0.41 -3.6824 -0.5020
0.42 -3.7059 -0.5054
0.43 -3.7295 -0.5087
0.44 -3.7533 -0.5121
0.45 -3.7772 -0.5155
0.46 -3.8012 -0.5189
0.47 -3.8254 -0.5222
0.48 -3.8497 -0.5256
0.49 -3.8742 -0.5290
0.50 -3.8988 -0.5325
0.51 -3.9236 -0.5359
0.52 -3.9485 -0.5393
0.53 -3.9736 -0.5428
0.54 -3.9988 -0.5463
0.55 -4.0242 -0.5498
0.56 -4.0497 -0.5533
0.57 -4.0754 -0.5568
0.58 -4.1013 -0.5604
0.59 -4.1273 -0.5640
0.60 -4.1535 -0.5676
0.61 -4.1799 -0.5712
0.62 -4.2064 -0.5748
0.63 -4.2331 -0.5785
0.64 -4.2599 -0.5822
0.65 -4.2869 -0.5859
0.66 -4.3141 -0.5896
0.67 -4.3415 -0.5933
0.68 -4.3691 -0.5971
0.69 -4.3968 -0.6009
0.70 -4.4247 -0.6047
0.71 -4.4527 -0.6085
0.72 -4.4810 -0.6124
0.73 -4.5094 -0.6163
0.74 -4.5380 -0.6202
0.75 -4.5668 -0.6241
0.76 -4.5957 -0.6281
0.77 -4.6249 -0.6321
0.78 -4.6542 -0.6361
0.79 -4.6837 -0.6401
0.80 -4.7135 -0.6442
0.81 -4.7434 -0.6483
0.82 -4.7734 -0.6524
0.83 -4.8037 -0.6565
0.84 -4.8342 -0.6607
0.85 -4.8648 -0.6649
0.86 -4.8957 -0.6691
0.87 -4.9267 -0.6734
0.88 -4.9580 -0.6776
0.89 -4.9894 -0.6819
0.90 -5.0211 -0.6863
0.91 -5.0529 -0.6906
0.92 -5.0850 -0.6950
0.93 -5.1172 -0.6994
0.94 -5.1497 -0.7038
0.95 -5.1824 -0.7083
0.96 -5.2152 -0.7128
0.97 -5.2483 -0.7173
0.98 -5.2816 -0.7219
0.99 -5.3151 -0.7264
0,00 -1,4628 -0,2670
0,01 -1,4680 -0,2377
0,02 -1,4726 -0,2083
0,03 -1,4766 -0,1788
0,04 -1,4800 -0,1493
0,05 -1,4829 -0,1196
0,06 -1,4851 -0,0900
0,07 -1,4868 -0,0603
0,08 -1,4878 -0,0305
0,09 -1,4883 -0,0008
0,10 -1,4881 0,0290
0,11 -1,4874 0,0588
0,12 -1,4861 0,0885
0,13 -1,4842 0,1182
0,14 -1,4817 0,1479
0,15 -1,4786 0,1775
0,16 -1,4749 0,2071
0,17 -1,4706 0,2365
0,18 -1,4657 0,2659
0,19 -1,4602 0,2952
0,20 -1,4542 0,3244
0,21 -1,4475 0,3534
0,22 -1,4403 0,3823
0,23 -1,4325 0,4111
0,24 -1,4242 0,4397
0,25 -1,4152 0,4682
0,26 -1,4057 0,4964
0,27 -1,3957 0,5245
0,28 -1,3850 0,5524
0,29 -1,3738 0,5800
0,30 -1,3621 0,6074
0,31 -1,3498 0,6346
0,32 -1,3370 0,6615
0,33 -1,3236 0,6882
0,34 -1,3097 0,7146
0,35 -1,2953 0,7407
0,36 -1,2804 0,7666
0,37 -1,2649 0,7921
0,38 -1,2489 0,8173
0,39 -1,2325 0,8422
0,40 -1,2155 0,8668
0,41 -1,1980 0,8910
0,42 -1,1801 0,9149
0,43 -1,1617 0,9384
0,44 -1,1428 0,9615
0,45 -1,1235 0,9843
0,46 -1,1037 1,0067
0,47 -1,0834 1,0286
0,48 -1,0627 1,0502
0,49 -1,0416 1,0713
0,50 -1,0201 1,0921
0,51 -0,9982 1,1124
0,52 -0,9758 1,1322
0,53 -0,9531 1,1516
0,54 -0,9299 1,1706
0,55 -0,9064 1,1890
0,56 -0,8826 1,2071
