0,79 -0,4929 -0,0372
0,80 -0,4921 -0,0409
0,81 -0,4912 -0,0445
0,82 -0,4902 -0,0479
0,83 -0,4892 -0,0513
0,84 -0,4881 -0,0545
0,85 -0,4869 -0,0577
0,86 -0,4857 -0,0607
0,87 -0,4845 -0,0636
0,88 -0,4831 -0,0665
0,89 -0,4817 -0,0692
0,90 -0,4803 -0,0719
0,91 -0,4788 -0,0744
0,92 -0,4773 -0,0769
0,93 -0,4757 -0,0793
0,94 -0,4741 -0,0816
0,95 -0,4724 -0,0838
0,96 -0,4707 -0,0859
0,97 -0,4689 -0,0879
0,98 -0,4671 -0,0899
0,99 -0,4653 -0,0918
1,00 -0,4634 -0,0936
1,01 -0,4615 -0,0954
1,02 -0,4596 -0,0971
1,03 -0,4576 -0,0987
1,04 -0,4556 -0,1002
1,05 -0,4535 -0,1017
1,06 -0,4515 -0,1031
1,07 -0,4494 -0,1045
1,08 -0,4473 -0,1058
1,09 -0,4451 -0,1070
1,10 -0,4430 -0,1082
1,11 -0,4408 -0,1094
1,12 -0,4386 -0,1104
1,13 -0,4363 -0,1114
1,14 -0,4341 -0,1124
1,15 -0,4318 -0,1133
1,16 -0,4295 -0,1142
1,17 -0,4272 -0,1150
1,18 -0,4249 -0,1158
1,19 -0,4226 -0,1165
1,20 -0,4203 -0,1172
1,21 -0,4179 -0,1179
1,22 -0,4155 -0,1185
1,23 -0,4131 -0,1190
1,24 -0,4108 -0,1195
1,25 -0,4084 -0,1200
1,26 -0,4059 -0,1205
1,27 -0,4035 -0,1209
1,28 -0,4011 -0,1213
1,29 -0,3987 -0,1216
1,30 -0,3962 -0,1219
1,31 -0,3938 -0,1222
1,32 -0,3913 -0,1224
1,33 -0,3889 -0,1226
1,34 -0,3864 -0,1228
1,35 -0,3840 -0,1230
1,36 -0,3815 -0,1231
1,37 -0,3791 -0,1232
1,38 -0,3766 -0,1232
1,39 -0,3741 -0,1233
1,40 -0,3717 -0,1233
1,41 -0,3692 -0,1233
1,42 -0,3667 -0,1233
1,43 -0,3643 -0,1232
1,44 -0,3618 -0,1231
1,45 -0,3593 -0,1230
1,46 -0,3569 -0,1229
1,47 -0,3544 -0,1228
1,48 -0,3520 -0,1226
1,49 -0,3495 -0,1224
1,50 -0,3471 -0,1222
1,51 -0,3446 -0,1220
1,52 -0,3422 -0,1218
